Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Counterfactual,Year,Value
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2013,4.986983277
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2013,3.855293882
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2013,4.102586446
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2013,3.166267806
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2013,3.002220897
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2014,11.08603084
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2014,5.119289697
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2014,3.976906311
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2014,4.190553806
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2014,3.248015325
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2014,3.073511981
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2015,11.76763005
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2015,5.557032509
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2015,4.327031536
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2015,4.227616543
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2015,3.407894924
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2015,3.132494401
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2016,12.07056751
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2016,5.594849536
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2016,4.364350545
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2016,4.316187806
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2016,3.538286111
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2016,3.20184805
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2017,12.50159247
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2017,5.546179594
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2017,4.445268338
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2017,4.659841271
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2017,3.749223195
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2017,3.381648071
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2018,12.66593473
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2018,5.680779452
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2018,4.384021432
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2018,4.685464977
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2018,4.022334493
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2018,3.545682136
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2019,12.67581074
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2019,5.793063444
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2019,4.320536893
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2019,4.582855208
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2019,4.222647503
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2019,3.603497275
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2020,12.89361186
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2020,5.682505211
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2020,4.315379688
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2020,4.632374637
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2020,4.321043148
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2020,3.523452764
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2021,12.58283387
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2021,5.513444327
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2021,4.110591883
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2021,4.417032492
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2021,4.162949944
Spain,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2021,3.356037928
