HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2016,ES,Spain,6.19938153,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2016,NL,Netherlands,2.30440182,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2017,BG,Bulgaria,24.89082969,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2017,ES,Spain,5.47280914,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2017,NL,Netherlands,2.06556503,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2018,BG,Bulgaria,19.63636363,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2018,ES,Spain,6.38325875,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2018,NL,Netherlands,2.17706821,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2019,BG,Bulgaria,19.0340909,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2019,ES,Spain,6.26689604,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2019,NL,Netherlands,2.59046052,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2020,BG,Bulgaria,18.72146118,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2020,ES,Spain,6.28328008,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2020,NL,Netherlands,1.88351589,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2021,BG,Bulgaria,14.82889733,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2021,ES,Spain,5.37257019,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2021,NL,Netherlands,2.00790994,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2022,BG,Bulgaria,14.22594142,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2022,ES,Spain,6.36353379,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2022,NL,Netherlands,2.05270457,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2023,BG,Bulgaria,17.64705882,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2023,ES,Spain,6.09835355,
Antimicrobial resistance,"Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates, percentage  ",%,2023,NL,Netherlands,2.14395099,
