HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,VibValue
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2017,NL,Netherlands,2.16138328,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2018,BG,Bulgaria,25.84269662,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2018,ES,Spain,11.14369501,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2018,NL,Netherlands,1.84210526,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2019,BG,Bulgaria,30.84112149,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2019,ES,Spain,13.46153846,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2019,NL,Netherlands,1.6722408,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2020,BG,Bulgaria,50,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2020,ES,Spain,9.56210902,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2020,NL,Netherlands,1.86513629,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2021,BG,Bulgaria,31.3253012,75.18072289
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2021,ES,Spain,11.12244897,26.69387753
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2021,NL,Netherlands,0.86206896,2.068965504
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2022,BG,Bulgaria,45.45454545,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2022,ES,Spain,13.87520525,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2022,NL,Netherlands,2.36111111,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2023,BG,Bulgaria,30.95238095,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2023,ES,Spain,7.83986655,
Antimicrobial resistance,"Pseudomonas aeruginosa|Combined resistance (at least three of piperac. and tazob., fluoroq., ceftaz., aminogl. and carbapenems)","R - resistant isolates, percentage  ",%,2023,NL,Netherlands,1.76870748,
